	4585
ALTERATION	8
ALTERATIONS	1
ALTERED	7
ALTERNATE	2
ALTERNATIVE	3
ALTHOUGH	1
ALTOGETHER	8
ALWAYS	120
AM	326
AMAZE	1
AMAZED	5
AMAZEMENT	10
AMAZES	1
AMAZING	2
AMBITION	1
AMENDMENT	2
AMENDS	5
AMIABLE	36
AMID	1
AMIDST	4
AMISS	1
AMONG	25
AMONGST	12
AMOUNT	2
AMOUNTING	1
AMPLE	2
AMPLY	2
AMUSE	5
AMUSED	6
AMUSEMENT	12
AMUSEMENTS	3
AMUSING	4
AN	374
ANCIENT	1
ANCLE	1
ANCLES	2
AND	3662
ANECDOTE	2
ANECDOTES	1
ANEW	1
ANGEL	3
ANGELIC	1
ANGER	13
ANGRILY	1
ANGRY	17
ANGUISH	2
ANIMAL	1
ANIMATED	3
ANIMATING	1
ANIMATION	4
ANNE	5
ANNESLEY	3
ANNEXED	1
ANNOUNCE	4
ANNOUNCED	3
ANNOYED	1
ANNUAL	1
ANNUM	2
ANOTHER	57
ANSWER	65
ANSWERABLE	2
ANSWERED	34
ANSWERING	3
ANSWERS	1
ANTAGONIST	1
ANTI	1
ANTICIPATE	1
ANTICIPATED	4
ANTICIPATING	2
ANTICIPATION	1
ANXIETY	19
ANXIOUS	26
ANXIOUSLY	2
ANY	426
ANYBODY	8
ANYONE	5
ANYTHING	6
ANYWHERE	3
APACE	1
APARTMENT	4
APARTMENTS	2
APOLOGIES	2
APOLOGISE	4
APOLOGISED	2
APOLOGISING	3
APOLOGIZE	1
APOLOGIZING	1
APOLOGY	8
APOTHECARY	2
APPAREL	1
APPARENT	3
APPARENTLY	2
APPEAL	2
APPEALS	1
APPEAR	32
APPEARANCE	33
APPEARANCES	1
APPEARED	32
APPEARING	7
APPEARS	4
APPEASE	1
APPEASED	1
APPERTAIN	1
APPETITE	2
APPLICABLE	3
APPLICATION	12
APPLIED	12
APPLIES	1
APPLY	4
APPLYING	3
APPOINTED	1
APPOINTMENT	1
APPREHENDED	1
APPREHENDING	1
APPREHENSION	12
APPREHENSIONS	2
APPREHENSIVE	1
APPROACH	8
APPROACHED	6
APPROACHING	12
APPROBATION	7
APPROVE	5
APPROVED	3
APRIL	1
APT	1
ARCH	1
ARCHBISHOP	1
ARCHIVE	17
ARCHLY	2
ARCHNESS	1
ARDENT	1
ARDENTLY	2
ARE	363
ARGUED	1
ARGUING	1
ARGUMENT	5
ARGUMENTS	5
ARISE	8
ARISEN	5
ARISING	5
ARM	4
ARMY	3
AROSE	5
AROUND	2
ARRANGE	1
ARRANGED	2
ARRANGEMENT	8
ARRANGEMENTS	1
ARRANGES	1
ARRANGING	2
ARRAY	1
ARREAR	1
ARRESTED	2
ARRIVAL	30
ARRIVE	2
ARRIVED	15
ARRIVING	1
ARROGANCE	1
ARROGANT	1
ART	3
ARTFUL	1
ARTFULLY	1
ARTICLE	3
ARTICLES	2
ARTIFICIAL	1
ARTS	4
AS	1200
ASCENDED	3
ASCERTAIN	2
ASCERTAINING	1
ASCII	2
ASHAMED	16
ASHWORTH	1
ASIDE	4
ASK	32
ASKED	40
ASKING	14
ASLEEP	1
ASPECT	6
ASPERITY	1
ASPIRE	1
ASSEMBLED	6
ASSEMBLEE	1
ASSEMBLIES	2
ASSEMBLY	9
ASSENT	1
ASSENTED	2
ASSENTS	1
ASSERT	5
ASSERTED	1
ASSERTING	1
ASSERTION	3
ASSERTIONS	3
ASSIDUOUS	1
ASSIDUOUSLY	1
ASSIST	7
ASSISTANCE	14
ASSISTANT	1
ASSISTED	4
ASSISTING	2
ASSOCIATED	8
ASSOCIATING	1
ASSUME	3
ASSUMED	1
ASSURANCE	14
ASSURANCES	9
ASSURE	39
ASSURED	28
ASSURING	4
ASTONISH	2
ASTONISHED	14
ASTONISHMENT	30
AT	796
ATE	4
ATONE	2
ATONED	1
ATONEMENT	2
ATTACH	3
ATTACHED	12
ATTACHMENT	27
ATTACHMENTS	1
ATTACK	4
ATTACKED	1
ATTACKS	3
ATTAINED	1
ATTEMPT	22
ATTEMPTED	5
ATTEMPTING	4
ATTEND	5
ATTENDANCE	4
ATTENDANT	1
ATTENDANTS	1
ATTENDED	24
ATTENDING	9
ATTENTION	68
ATTENTIONS	28
ATTENTIVE	10
ATTENTIVELY	3
ATTICS	1
ATTITUDE	1
ATTORNEY	3
ATTRACTED	3
ATTRACTION	2
ATTRACTIONS	5
ATTRIBUTE	4
ATTRIBUTED	5
ATTRIBUTING	1
AUDIBLE	1
AUDIENCE	2
AUGMENT	1
AUGMENTED	1
AUGUST	1
AUNT	84
AUNTS	1
AUSTEN	2
AUSTERITY	1
AUSTUOFT	1
AUTHOR	4
AUTHORISE	1
AUTHORISED	3
AUTHORITATIVE	2
AUTHORITY	9
AUTHORIZING	1
AVAIL	1
AVAILABLE	4
AVAILED	1
AVARICE	1
AVENUE	1
AVOID	18
AVOIDANCE	1
AVOIDED	1
AVOIDING	2
AVOWAL	3
AVOWED	3
AWAITED	1
AWAKE	2
AWAKENED	4
AWARE	14
AWAY	120
AWE	3
AWED	2
AWEFUL	1
AWFUL	1
AWKWARD	10
AWKWARDNESS	3
AWOKE	1
AYE	6
B	4
BACK	41
BACKED	1
BACKGAMMON	2
BACKWARD	1
BACKWARDS	1
BAD	15
BAKEWELL	1
BALL	36
BALLS	8
BALM	1
BANDBOX	1
BANISH	3
BANISHED	3
BANKS	2
BARBAROUS	1
BARBAROUSLY	1
BARE	3
BAREFACED	1
BARELY	1
BARNET	2
BAROUCHE	1
BASED	2
BASHFUL	1
BASIS	1
BASS	1
BATH	1
BATHING	2
BATTLED	1
BE	1256
BEAR	25
BEARING	2
BEARS	2
BEATINGS	1
BEAUTEOUS	1
BEAUTIES	4
BEAUTIFUL	15
BEAUTY	27
BEAUX	1
BECAME	16
BECAUSE	63
BECOME	9
BECOMES	4
BECOMING	3
BED	6
BEDFORD	1
BEEN	517
BEFAL	1
BEFALL	1
BEFORE	230
BEFRIENDED	1
BEG	17
BEGAN	59
BEGGED	8
BEGGING	2
BEGIN	13
BEGINNING	13
BEGINS	4
BEGS	1
BEGUN	2
BEHALF	4
BEHAVE	2
BEHAVED	8
BEHAVES	2
BEHAVIOUR	55
BEHELD	2
BEHIND	14
BEHOLDING	3
BEING	176
BELIEF	15
BELIEVE	88
BELIEVED	37
BELIEVES	1
BELIEVING	12
BELL	7
BELLE	1
BELONG	3
BELONGED	3
BELONGING	1
BELONGS	2
BELOVED	2
BELOW	8
BENCHES	1
BENEATH	5
BENEFICENCE	1
BENEFICIAL	1
BENEFIT	5
BENEFITED	4
BENEFITING	1
BENEFITS	1
BENEVOLENCE	3
BENEVOLENT	1
BENNET	324
BENNETS	10
BENT	3
BEQUEATHED	1
BEQUEST	1
BESIDE	1
BESIDES	11
BEST	42
BESTOW	7
BESTOWED	8
BESTOWING	1
BETRAY	3
BETRAYED	4
BETS	1
BETTER	92
BETWEEN	63
BEWAILED	1
BEWILDERED	1
BEWITCHED	1
BEWITCHING	1
BEYOND	36
BID	1
BIDDING	3
BILLIARD	1
BILLS	1
BINARY	1
BINGLEY	307
BINGLEYS	5
BIRDS	2
BIRMINGHAM	1
BIRTH	5
BIT	3
BITING	1
BITTER	2
BITTEREST	1
BITTERLY	2
BITTERNESS	5
BLACK	1
BLACKEN	1
BLAME	16
BLAMEABLE	1
BLAMED	1
BLAMELESS	1
BLAMELESSNESS	1
BLAMING	3
BLASTED	1
BLEMISH	1
BLENHEIM	1
BLESS	3
BLESSED	4
BLESSING	4
BLIND	6
BLINDED	2
BLINDS	1
BLOTS	1
BLOW	1
BLOWN	1
BLOWSY	1
BLUE	2
BLUSH	4
BLUSHED	7
BLUSHING	1
BOARD	1
BOAST	11
BOASTED	2
BOASTING	1
BODIES	1
BODY	55
BOISTEROUSLY	1
BOLD	2
BOLDLY	1
BONNET	3
BOOK	19
BOOKS	14
BORDERED	2
BORDERING	3
BORE	9
BORN	4
BORNE	5
BORROW	2
BORROWED	1
BOSOM	1
BOSOMS	1
BOTH	72
BOTTLE	2
BOTTOM	1
BOUGHT	5
BOULANGER	1
BOUND	3
BOUNDARY	2
BOUNDLESS	1
BOUNDS	1
BOUNTY	1
BOURGH	39
BOURNE	1
BOW	11
BOWED	3
BOWING	1
BOWL	1
BOWS	2
BOX	1
BOXES	1
BOY	4
BOYS	3
BRACELETS	1
BRACKETS	1
BRAIN	2
BRAINS	1
BRANCH	4
BREACH	5
BREAK	2
BREAKFAST	26
BREAKFASTED	1
BREAKING	2
BREAST	2
BREATH	2
BREATHED	1
BREATHING	1
BREATHLESS	2
BRED	4
BREEDING	6
BREVITY	1
BRIBE	1
BRIBERY	1
BRIDE	3
BRIDEGROOM	1
BRIDGE	3
BRIEFLY	4
BRIGHT	1
BRIGHTENED	1
BRIGHTENING	1
BRIGHTEST	2
BRIGHTON	24
BRILLIANCY	2
BRING	18
BRINGING	12
BRINGS	1
BRINK	2
BRITAIN	1
BRITISH	1
BRITTLE	1
BROAD	1
BROKE	4
BROKEN	5
BROMLEY	1
BROOKING	1
BROTHER	79
BROTHERLY	2
BROTHERS	2
BROUGHT	37
BROW	1
BROWN	1
BUILD	1
BUILDING	3
BUILT	3
BURNING	1
BURNT	1
BURST	3
BURYING	1
BUSILY	3
BUSINESS	46
BUSTLE	1
BUSY	1
BUT	1009
BUTCHER	1
BUTLER	1
BUY	4
BUYING	1
BY	661
BYE	6
C	17
CAKE	1
CALCULATE	2
CALCULATED	4
CALCULATION	1
CALICO	1
CALL	28
CALLED	41
CALLING	15
CALLS	1
CALM	5
CALMLY	1
CALMNESS	4
CAMBRIC	1
CAMBRIDGE	1
CAME	90
CAMP	3
CAMPFUL	1
CAN	223
CANDID	1
CANDOUR	3
CANNOT	116
CANVAS	1
CANVASSED	2
CAP	1
CAPABLE	18
CAPACITY	1
CAPERS	1
CAPITAL	4
CAPRICE	4
CAPTAIN	4
CAPTIVATE	1
CAPTIVATED	1
CAPTIVATING	2
CAPTIVATION	1
CARAT	1
CARD	10
CARDS	7
CARE	35
CARED	7
CAREFUL	4
CAREFULLY	3
CARELESS	2
CARELESSNESS	2
CARES	2
CARING	2
CAROLINE	17
CARPETS	1
CARRIAGE	43
CARRIAGES	7
CARRIED	8
CARRY	6
CARRYING	4
CARTER	4
CARVED	1
CASE	32
CASES	6
CASSINO	1
CAST	2
CASUAL	1
CATCH	4
CATCHING	1
CATHERINE	126
CAUGHT	11
CAUSE	21
CAUSED	1
CAUSES	5
CAUTION	3
CAUTIONING	2
CAUTIOUS	4
CAUTIOUSNESS	1
CEASE	3
CEASED	6
CEASELESS	1
CELEBRATED	2
CELERITY	1
CENSURE	5
CENSURED	2
CENSURING	1
CENTS	1
CEREMONIES	1
CEREMONIOUS	3
CEREMONY	5
CERTAIN	57
CERTAINLY	72
CERTAINTY	8
CESSATION	1
CHAGRIN	1
CHAIR	6
CHAISE	11
CHALLENGE	1
CHAMBER	2
CHAMBERLAYNE	1
CHAMBERMAID	2
CHANCE	19
CHANCED	1
CHANGE	25
CHANGED	8
CHANGES	2
CHANGING	3
CHAPERON	1
CHAPMAN	2
CHAPTER	61
CHARACTER	65
CHARACTERISTIC	2
CHARACTERIZE	1
CHARACTERS	4
CHARGE	14
CHARGED	1
CHARGES	1
CHARITABLE	1
CHARITIES	1
CHARITY	1
CHARLES	7
CHARLOTTE	86
CHARM	6
CHARMING	20
CHARMINGLY	2
CHARMS	4
CHATSWORTH	1
CHATTY	1
CHEAP	1
CHEAPSIDE	2
CHEAT	1
CHEATING	1
CHECK	6
CHECKED	5
CHECKING	2
CHECKS	1
CHEEKS	4
CHEERFUL	7
CHEERFULLY	2
CHEERFULNESS	7
CHEERING	2
CHERISH	1
CHERISHED	4
CHESNUTS	1
CHICKEN	1
CHIEF	17
CHIEFLY	10
CHILD	14
CHILDHOOD	1
CHILDREN	25
CHIMNEY	1
CHIN	1
CHINA	1
CHOICE	15
CHOOSE	7
CHOOSES	1
CHOSE	16
CHOSEN	8
CHRISTENING	1
CHRISTIAN	2
CHRISTMAS	6
CHURCH	11
CHUSE	13
CHUSES	7
CHUSING	1
CIRCLE	7
CIRCLES	1
CIRCUIT	1
CIRCULATED	1
CIRCULATING	1
CIRCULATION	2
CIRCUMSPECT	1
CIRCUMSPECTION	2
CIRCUMSTANCE	19
CIRCUMSTANCES	28
CITY	2
CIVIL	18
CIVILITIES	7
CIVILITY	42
CIVILLY	3
CLAIM	6
CLAIMED	3
CLAIMS	6
CLAMOROUS	1
CLAPHAM	4
CLARKE	1
CLASS	2
CLEANSE	1
CLEAR	9
CLEARED	2
CLEARER	1
CLEARING	1
CLEARLY	4
CLEMENT	1
CLERGY	1
CLERGYMAN	8
CLERICAL	1
CLERK	1
CLEVER	7
CLOCK	6
CLOSE	9
CLOSED	6
CLOSELY	1
CLOSER	1
CLOSEST	2
CLOSETS	1
CLOSURE	1
CLOTHES	13
CLOUDED	1
CLUE	1
CLUMP	1
CLUSTER	1
COACH	10
COACHMAN	2
COARSE	1
COARSENESS	2
COAT	4
COATS	1
COAXED	1
CODES	1
COFFEE	7
COGENT	1
COHERENT	1
COINCIDE	1
COINCIDED	1
COINCIDENCE	1
COL	1
COLD	18
COLDER	1
COLDLY	2
COLDS	1
COLLECT	2
COLLECTED	3
COLLECTING	2
COLLECTION	8
COLLINS	179
COLLINSES	6
COLONEL	65
COLOUR	12
COLOURED	6
COLOURING	3
COMBATED	1
COME	95
COMERS	1
COMES	16
COMFORT	31
COMFORTABLE	12
COMFORTABLY	2
COMFORTED	1
COMFORTLESS	1
COMFORTS	4
COMING	60
COMMAND	7
COMMANDED	2
COMMENCEMENT	2
COMMENDABLE	1
COMMENDATION	8
COMMENDATIONS	1
COMMENDED	2
COMMERCE	1
COMMERCIAL	1
COMMISERATION	1
COMMISSION	7
COMMISSIONED	1
COMMISSIONING	1
COMMITTED	1
COMMON	19
COMMONEST	1
COMMONLY	1
COMMUNICATE	3
COMMUNICATED	3
COMMUNICATION	10
COMMUNICATIONS	2
COMMUNICATIVE	1
COMMUNICATIVENESS	1
COMPANION	16
COMPANIONS	7
COMPANY	22
COMPARATIVE	3
COMPARATIVELY	3
COMPARE	1
COMPARED	4
COMPARING	2
COMPARISON	13
COMPARISONS	1
COMPASS	1
COMPASSION	14
COMPASSIONATE	2
COMPATIBLE	2
COMPENSATION	1
COMPETITION	3
COMPILATION	1
COMPLACENCY	5
COMPLAIN	4
COMPLAINED	1
COMPLAINING	1
COMPLAINT	1
COMPLAINTS	4
COMPLAISANCE	5
COMPLAISANT	1
COMPLETE	8
COMPLETED	2
COMPLETELY	7
COMPLETION	1
COMPLEXION	7
COMPLIANCE	6
COMPLIED	4
COMPLIMENT	26
COMPLIMENTED	3
COMPLIMENTING	1
COMPLIMENTS	11
COMPLY	9
COMPLYING	6
COMPOSE	3
COMPOSED	3
COMPOSEDLY	3
COMPOSITION	1
COMPOSURE	16
COMPREHEND	19
COMPREHENDED	3
COMPREHENDS	1
COMPREHENSION	1
COMPRESSED	1
COMPRISE	1
COMPRISED	2
COMPROMISED	1
COMPUTER	2
COMPUTERS	2
CONCEAL	13
CONCEALED	7
CONCEALING	1
CONCEALMENT	2
CONCEALS	1
CONCEIT	5
CONCEITED	6
CONCEIVE	3
CONCEPT	2
CONCEPTION	1
CONCERN	26
CONCERNED	18
CONCERNING	7
CONCERNS	8
CONCERTO	1
CONCILIATE	1
CONCILIATING	1
CONCILIATORY	1
CONCISE	1
CONCISELY	2
CONCLUDE	5
CONCLUDED	10
CONCLUDING	1
CONCLUSION	8
CONCURRENCE	2
CONDEMN	3
CONDEMNED	2
CONDESCEND	1
CONDESCENDED	5
CONDESCENDINGLY	1
CONDESCENDS	1
CONDESCENSION	7
CONDITION	3
CONDITIONAL	1
CONDITIONALLY	2
CONDITIONS	1
CONDOLE	2
CONDOLENCE	1
CONDUCT	23
CONDUCTED	2
CONFEDERACY	1
CONFERENCE	4
CONFESS	16
CONFESSED	4
CONFESSION	3
CONFIDANTE	2
CONFIDE	1
CONFIDENCE	11
CONFIDENT	3
CONFIDENTIAL	1
CONFIDENTLY	1
CONFIDING	2
CONFINED	5
CONFINEMENT	1
CONFIRM	1
CONFIRMATION	5
CONFIRMED	4
CONFIRMING	2
CONFIRMS	1
CONFUSED	4
CONFUSION	11
CONGENIAL	1
CONGRATULATE	7
CONGRATULATED	2
CONGRATULATION	1
CONGRATULATIONS	12
CONGRATULATORY	1
CONJECTURE	7
CONJECTURED	2
CONJECTURES	4
CONJECTURING	2
CONJUGAL	2
CONJUNCTION	1
CONNECT	2
CONNECTED	14
CONNECTION	18
CONNECTIONS	19
CONNEXION	1
CONNIVANCE	1
CONNUBIAL	1
CONQUER	2
CONQUERED	1
CONQUEST	3
CONSCIENCE	5
CONSCIENTIOUS	1
CONSCIENTIOUSLY	1
CONSCIOUS	3
CONSCIOUSNESS	2
CONSENT	13
CONSENTED	2
CONSENTING	1
CONSEQUENCE	32
CONSEQUENCES	1
CONSEQUENT	1
CONSEQUENTIAL	2
CONSEQUENTLY	10
CONSIDER	33
CONSIDERABLE	11
CONSIDERABLY	3
CONSIDERATION	14
CONSIDERATIONS	1
CONSIDERED	23
CONSIDERING	14
CONSIGN	1
CONSIGNED	1
CONSISTED	2
CONSISTENCY	2
CONSISTENT	3
CONSISTS	1
CONSOLATION	10
CONSOLATORY	1
CONSOLE	9
CONSOLED	2
CONSOLING	3
CONSTANCY	1
CONSTANT	13
CONSTANTLY	3
CONSTERNATION	1
CONSTITUTE	1
CONSTITUTION	1
CONSTRAINED	1
CONSTRUCTION	1
CONSTRUED	1
CONSTRUING	1
CONSULT	3
CONSULTED	2
CONSULTING	2
CONTACT	5
CONTAIN	8
CONTAINED	7
CONTAINING	3
CONTAINS	1
CONTEMPLATION	4
CONTEMPT	12
CONTEMPTUOUSLY	1
CONTENT	1
CONTENTED	4
CONTENTMENT	3
CONTENTS	9
CONTINUAL	3
CONTINUALLY	6
CONTINUANCE	3
CONTINUE	9
CONTINUED	52
CONTINUING	2
CONTRACT	1
CONTRACTED	3
CONTRADICT	2
CONTRADICTED	1
CONTRADICTIONS	1
CONTRARIETY	1
CONTRARIWISE	1
CONTRARY	10
CONTRAST	3
CONTRASTED	1
CONTRIBUTE	2
CONTRIBUTED	1
CONTRIBUTIONS	2
CONTRIVANCE	4
CONTRIVE	3
CONTRIVED	3
CONTROVERTED	1
CONVENIENCE	3
CONVENIENT	5
CONVERSATION	61
CONVERSATIONS	1
CONVERSE	4
CONVERSED	1
CONVERSIBLE	1
CONVERSING	3
CONVERT	2
CONVERTING	1
CONVEY	2
CONVEYED	2
CONVEYING	1
CONVICTION	16
CONVINCE	4
CONVINCED	40
COOK	1
COOKERY	1
COOKS	1
COOL	3
COOLLY	4
COPIED	3
COPIES	7
COPPICE	1
COPSE	4
COPY	12
COPYING	4
COPYRIGHT	14
COQUETRY	1
CORDIAL	3
CORDIALITY	4
CORDIALLY	3
CORNER	1
CORPORATION	1
CORPS	6
CORRECT	2
CORRESPOND	1
CORRESPONDENCE	5
CORRESPONDENT	2
CORRESPONDENTS	1
CORROBORATED	1
CORROBORATION	1
CORRUPT	1
CORRUPTION	1
COST	7
COSTING	1
COSTS	2
COTTAGERS	1
COUGH	2
COUGHING	1
COUGHS	1
COULD	524
COUNTED	1
COUNTENANCE	30
COUNTERACT	1
COUNTERACTED	2
COUNTERBALANCE	1
COUNTERPART	1
COUNTING	1
COUNTRIES	1
COUNTRY	43
COUNTY	6
COUPLE	8
COUPLES	1
COURAGE	12
COURIER	1
COURSE	48
COURSES	3
COURT	4
COURTED	2
COURTEOUS	1
COURTESY	2
COURTIER	1
COURTING	1
COURTSHIP	2
COUSIN	49
COUSINS	11
COVER	1
COVERED	2
COVERING	2
COVIES	1
COWS	1
CRADLES	1
CRAMMED	1
CRAYONS	1
CREATED	7
CREATING	4
CREATION	1
CREATIVE	1
CREATURE	14
CREATURES	3
CREDIT	28
CREDITABLE	2
CREDITABLY	1
CREDITORS	2
CRIED	91
CRITICAL	2
CRITICISE	1
CRITICISMS	1
CROSS	4
CROSSED	5
CROSSING	2
CROUD	1
CROUDED	1
CROWDED	2
CROWN	1
CROWNED	1
CRUEL	4
CRUELLY	3
CRUELTY	4
CRUSHING	1
CRY	1
CRYING	2
CUCUMBER	1
CULPRIT	1
CULTIVATION	1
CUNNING	1
CUP	1
CURE	1
CURIOSITIES	1
CURIOSITY	23
CURIOUS	5
CURLY	1
CURRENT	1
CURRICLE	2
CURTAILED	1
CURTAINS	1
CURTSEY	3
CURTSEYED	1
CUSTODY	1
CUSTOM	2
CUTTING	1
D	2
DAILY	3
DALE	2
DAMAGE	2
DAMAGED	1
DAMAGES	4
DAMP	1
DANCE	32
DANCED	13
DANCES	11
DANCING	21
DANGER	19
DANGEROUS	1
DARCY	418
DARE	40
DARED	13
DARING	2
DARK	2
DARLING	1
DARTING	1
DATA	1
DATE	5
DATED	2
DAUGHTER	84
DAUGHTERS	50
DAWDLED	1
DAWSON	1
DAY	145
DAYS	35
DAZZLING	1
DE	39
DEAD	5
DEADEN	1
DEAL	34
DEAR	158
DEAREST	17
DEARLY	3
DEATH	8
DEBT	4
DEBTS	10
DECAMPING	1
DECEASE	3
DECEITFUL	2
DECEIVE	4
DECEIVED	14
DECEIVES	1
DECEIVING	1
DECENCY	2
DECENT	3
DECEPTION	2
DECIDE	4
DECIDED	11
DECIDEDLY	4
DECIDING	1
DECISIONS	1
DECISIVE	2
DECKED	1
DECLARATION	5
DECLARE	8
DECLARED	15
DECLARES	1
DECLARING	1
DECLINE	2
DECLINED	6
DECORUM	4
DECORUMS	1
DEDUCED	1
DEDUCTIBLE	1
DEEMED	1
DEEP	7
DEEPER	3
DEEPEST	2
DEEPLY	5
DEFAULT	1
DEFECT	7
DEFECTION	1
DEFECTIVE	4
DEFECTS	6
DEFENCE	3
DEFEND	3
DEFENDED	1
DEFER	3
DEFERENCE	6
DEFERRED	2
DEFIANCE	3
DEFICIENCY	2
DEFICIENT	5
DEFIED	1
DEFINED	2
DEFINITION	1
DEFY	4
DEGENERATE	1
DEGRADATION	1
DEGREE	23
DEGREES	1
DEIGNED	3
DEJECTION	3
DELAY	6
DELAYED	6
DELETIONS	1
DELIBERATED	1
DELIBERATELY	2
DELIBERATION	4
DELICACY	11
DELICATE	6
DELICIOUS	1
DELIGHT	25
DELIGHTED	23
DELIGHTFUL	19
DELIGHTFULLY	4
DELIGHTING	1
DELIGHTS	2
DELIVERED	4
DELIVERING	1
DEMAND	4
DEMANDING	1
DEMANDS	1
DEMEAN	1
DENIAL	6
DENIED	3
DENNY	12
DENOMINATED	1
DENOTE	1
DENOTED	2
DENY	8
DENYING	1
DEPART	4
DEPARTED	2
DEPARTURE	6
DEPEND	23
DEPENDANT	2
DEPENDED	4
DEPENDENCE	7
DEPENDENT	1
DEPENDING	2
DEPENDS	1
DEPORTMENT	1
DEPRAVITY	1
DEPRECIATE	1
DEPRESSED	2
DEPRIVE	1
DEPRIVED	3
DERANGED	1
DERBYSHIRE	24
DERISION	2
DERIVATIVE	3
DERIVE	3
DERIVED	2
DERIVES	1
DESCENDED	3
DESCENDING	2
DESCENT	3
DESCRIBE	7
DESCRIBED	6
DESCRIBING	2
